,k_de_di,k_di_de,k_de_di / k_di_de,k1,k2,klong,kloss,conc,t05,t50,t95,s50,tmax,smax
0,0.01,0.01,1,0.001,0.1,5,0,10,0.89,2.231,0,0.243525784,1.306,6.613507986
1,0.01,0.02,0.5,0.001,0.1,5,0,10,1.35,30.935,0,0.04990545,1.843,2.960095055
2,0.01,0.05,0.2,0.001,0.1,5,0,10,2.797,0,0,0,3.309,0.766517001
3,0.01,0.1,0.1,0.001,0.1,5,0,10,5.458,0,0,0,5.586,0.252315181
4,0.01,0.2,0.05,0.001,0.1,5,0,10,11.324,0,0,0,10.694,0.096734054
5,0.01,0.5,0.02,0.001,0.1,5,0,10,26.544,0,0,0,45.323,0.065768505
6,0.01,1,0.01,0.001,0.1,5,0,10,49.18,0,0,0,49.999,0.034576989
7,0.01,2,0.005,0.001,0.1,5,0,10,0,0,0,0,49.999,0.003460146
8,0.01,5,0.002,0.001,0.1,5,0,10,0,0,0,0,49.999,0.000278066
9,0.01,10,0.001,0.001,0.1,5,0,10,0,0,0,0,49.999,6.50564E-05
10,0.01,20,0.0005,0.001,0.1,5,0,10,0,0,0,0,49.999,1.80538E-05
11,0.01,50,0.0002,0.001,0.1,5,0,10,0,0,0,0,49.999,4.042E-06
12,0.01,100,0.0001,0.001,0.1,5,0,10,0,0,0,0,49.999,1.50748E-06
13,0.01,200,0.00005,0.001,0.1,5,0,10,0,0,0,0,49.999,6.26531E-07
14,0.01,500,0.00002,0.001,0.1,5,0,10,0,0,0,0,49.999,2.20214E-07
15,0.02,0.01,2,0.001,0.1,5,0,10,0.664,1.176,0,8.87972481,1.022,11.73821406
16,0.02,0.02,1,0.001,0.1,5,0,10,0.89,2.126,0,0.429742678,1.307,6.630444413
17,0.02,0.05,0.4,0.001,0.1,5,0,10,1.583,20.344,0,0.099432513,2.106,2.208416841
18,0.02,0.1,0.2,0.001,0.1,5,0,10,2.791,29.797,0,0.098492419,3.344,0.794599032
19,0.02,0.2,0.1,0.001,0.1,5,0,10,5.377,37.703,0,0.096663719,5.824,0.284698342
20,0.02,0.5,0.04,0.001,0.1,5,0,10,13.085,49.999,0,0.093565306,21.192,0.133633035
21,0.02,1,0.02,0.001,0.1,5,0,10,24.64,0,0,0,42.291,0.110038214
22,0.02,2,0.01,0.001,0.1,5,0,10,46.865,0,0,0,49.999,0.047596837
23,0.02,5,0.004,0.001,0.1,5,0,10,0,0,0,0,49.999,0.001721215
24,0.02,10,0.002,0.001,0.1,5,0,10,0,0,0,0,49.999,0.000278692
25,0.02,20,0.001,0.001,0.1,5,0,10,0,0,0,0,49.999,6.50888E-05
26,0.02,50,0.0004,0.001,0.1,5,0,10,0,0,0,0,49.999,1.22864E-05
27,0.02,100,0.0002,0.001,0.1,5,0,10,0,0,0,0,49.999,4.04211E-06
28,0.02,200,0.0001,0.001,0.1,5,0,10,0,0,0,0,49.999,1.50749E-06
29,0.02,500,0.00004,0.001,0.1,5,0,10,0,0,0,0,49.999,4.8094E-07
30,0.05,0.01,5,0.001,0.1,5,0,10,0.53,0.888,25.049,17.64843163,0.844,18.32289125
31,0.05,0.02,2.5,0.001,0.1,5,0,10,0.619,1.073,36,11.45201737,0.963,13.49471099
32,0.05,0.05,1,0.001,0.1,5,0,10,0.89,1.991,47.741,0.888279045,1.309,6.680945178
33,0.05,0.1,0.5,0.001,0.1,5,0,10,1.349,7.925,49.999,0.247646058,1.857,3.049620474
34,0.05,0.2,0.25,0.001,0.1,5,0,10,2.293,12.963,0,0.24294428,2.914,1.196570005
35,0.05,0.5,0.1,0.001,0.1,5,0,10,5.229,19.8,0,0.229887264,6.564,0.391125767
36,0.05,1,0.05,0.001,0.1,5,0,10,9.955,27.925,0,0.211064982,16.487,0.279345634
37,0.05,2,0.025,0.001,0.1,5,0,10,18.944,42.792,0,0.181520062,32.071,0.215812655
38,0.05,5,0.01,0.001,0.1,5,0,10,45.422,0,0,0,49.999,0.063238838
39,0.05,10,0.005,0.001,0.1,5,0,10,0,0,0,0,49.999,0.003641246
40,0.05,20,0.0025,0.001,0.1,5,0,10,0,0,0,0,49.999,0.000474488
41,0.05,50,0.001,0.001,0.1,5,0,10,0,0,0,0,49.999,6.51083E-05
42,0.05,100,0.0005,0.001,0.1,5,0,10,0,0,0,0,49.999,1.80576E-05
43,0.05,200,0.00025,0.001,0.1,5,0,10,0,0,0,0,49.999,5.70143E-06
44,0.05,500,0.0001,0.001,0.1,5,0,10,0,0,0,0,49.999,1.5075E-06
45,0.1,0.01,10,0.001,0.1,5,0,10,0.485,0.802,6.869,21.61579329,0.783,21.79848995
46,0.1,0.02,5,0.001,0.1,5,0,10,0.53,0.888,13.01,17.68508922,0.844,18.35091997
47,0.1,0.05,2,0.001,0.1,5,0,10,0.664,1.172,20.203,9.160505136,1.024,11.82773903
48,0.1,0.1,1,0.001,0.1,5,0,10,0.89,1.893,24.72,1.496100928,1.313,6.764140154
49,0.1,0.2,0.5,0.001,0.1,5,0,10,1.348,5.055,28.556,0.490570823,1.874,3.160355341
50,0.1,0.5,0.2,0.001,0.1,5,0,10,2.757,9.396,33.754,0.463200845,3.61,1.026149181
51,0.1,1,0.1,0.001,0.1,5,0,10,5.109,13.852,39.634,0.424204574,7.753,0.580755998
