Day,Variant,Frame,i_GFP,t_dissolution
20230929,WT,1,112,157
20230929,WT,1,106,119
20230929,WT,2,205,133
20230929,WT,2,127,151
20230929,WT,2,124,145
20230929,WT,2,107,181
20230929,WT,3,104,162
20230929,WT,3,104,138
20230929,WT,4,601,136
20230929,WT,7,643,81
20230929,WT,7,354,83
20230929,WT,8,114,160
20230929,WT,9,112,83
20230929,WT,9,112,80
20230929,WT,11,150,88
20230929,WT,13,132,149
20230929,WT,15,193,181
20230929,WT,16,816,181
20230929,WT,18,852,92
20230929,WT,18,345,158
20230929,WT,19,160,175
20230929,WT,19,132,90
20230929,WT,19,147,96
20230929,D262V,1,779,181
20230929,D262V,1,431,175
20230929,D262V,2,153,143
20230929,D262V,2,133,153
20230929,D262V,2,105,108
20230929,D262V,2,107,181
20230929,D262V,2,110,181
20230929,D262V,2,115,110
20230929,D262V,3,300,175
20230929,D262V,3,394,181
20230929,D262V,4,183,129
20230929,D262V,5,241,181
20230929,D262V,5,249,181
20230929,D262V,5,139,135
20230929,D262V,6,558,150
20230929,D262V,6,468,100
20230929,D262V,6,175,181
20230929,D262V,9,218,149
20230929,D262V,9,209,81
20230929,D262V,9,136,181
20230929,D262V,9,111,152
20230929,D262V,10,154,82
20230929,D262V,11,270,162
20230929,D262V,11,237,141
20230929,D262V,11,120,181
20230929,D262V,11,119,181
20230929,D262V,11,106,142
20230929,D262V,11,105,155
20230929,D262V,12,477,181
20230929,D262V,13,257,153
20230929,D262V,13,284,110
20230929,D262V,13,239,91
20230929,D262V,13,529,181
20230929,D262V,13,206,152
20230929,D262V,14,171,181
20230929,D262V,15,406,86
20230929,D262V,16,433,135
20230929,D262V,16,203,132
20230929,D262V,17,740,181
20230929,D262V,18,144,97
20230929,D262V,18,157,169
20230929,D262V,19,475,92
20230929,D262V,19,1008,161
20230929,D262V,20,152,128
20230929,D262V,20,112,161
20230929,D262V,20,125,128
20230929,D262V,20,119,123
20230929,allW D262V,1,114,126
20230929,allW D262V,1,156,108
20230929,allW D262V,1,161,94
20230929,allW D262V,2,328,148
20230929,allW D262V,2,516,96
20230929,allW D262V,2,1172,128
20230929,allW D262V,2,757,138
20230929,allW D262V,3,921,81
20230929,allW D262V,3,208,154
20230929,allW D262V,3,221,124
20230929,allW D262V,3,269,143
20230929,allW D262V,4,315,136
20230929,allW D262V,5,297,84
20230929,allW D262V,5,169,91
20230929,allW D262V,5,107,156
20230929,allW D262V,6,591,86
20230929,allW D262V,6,280,88
20230929,allW D262V,6,151,82
20230929,allW D262V,7,270,137
20230929,allW D262V,7,117,91
20230929,allW D262V,7,126,104
20230929,allW D262V,8,138,86
20230929,allW D262V,8,300,106
20230929,allW D262V,9,1289,92
20230929,allW D262V,9,318,87
20230929,allW D262V,9,439,96
20230929,allW D262V,9,215,114
20230929,allW D262V,10,311,126
20230929,allW D262V,11,233,152
20230929,allW D262V,11,241,151
20230929,allW D262V,11,281,170
20230929,allW D262V,11,122,75
20230929,allW D262V,11,111,74
20230929,allW D262V,11,135,170
20230929,allW D262V,12,568,102
20230929,allW D262V,12,1198,116
20230929,allW D262V,13,1258,181
20230929,allW D262V,13,193,159
20230929,allW D262V,14,771,181
20230929,allW D262V,14,139,105
20230929,allW D262V,14,143,76
20230929,allW D262V,16,435,147
20230929,allW D262V,16,670,83
20230929,allW D262V,18,282,181
20230929,allW D262V,19,851,79
20230929,allW D262V,19,202,181
20230929,allW D262V,20,347,86
20230929,allW D262V,20,188,119
20230929,allW D262V,20,246,109
20231004,WT,2,536,181
20231004,WT,2,206,160
20231004,WT,2,108,84
20231004,WT,3,296,181
20231004,WT,3,847,130
20231004,WT,3,141,114
20231004,WT,4,120,88
20231004,WT,4,173,159
20231004,WT,4,131,175
20231004,WT,4,123,181
20231004,WT,5,270,181
20231004,WT,5,159,140
20231004,WT,5,160,97
20231004,WT,7,124,181
20231004,WT,7,134,121
20231004,WT,7,136,123
20231004,WT,7,104,116
20231004,WT,8,620,181
20231004,WT,8,300,181
20231004,WT,8,147,181
20231004,WT,9,141,157
20231004,WT,9,307,173
20231004,WT,9,200,73
20231004,WT,11,946,181
20231004,WT,11,691,151
20231004,WT,11,1723,163
20231004,WT,13,146,174
20231004,WT,13,130,97
20231004,WT,13,309,76
20231004,WT,14,240,129
20231004,WT,14,250,81
20231004,WT,15,318,157
20231004,WT,15,113,151
20231004,WT,15,118,94
20231004,WT,15,120,125
20231004,WT,16,1285,97
20231004,WT,16,235,140
20231004,WT,16,221,176
20231004,WT,17,518,173
20231004,WT,17,315,181
20231004,WT,17,124,173
20231004,WT,17,132,178
20231004,WT,18,130,121
20231004,WT,18,123,181
20231004,WT,19,198,181
20231004,WT,19,317,181
20231004,WT,20,212,115
20231004,WT,20,115,181
20231004,WT,20,113,143
20231004,D262V,1,208,181
20231004,D262V,1,106,132
20231004,D262V,1,104,166
20231004,D262V,2,484,179
20231004,D262V,2,140,120
20231004,D262V,3,181,181
20231004,D262V,3,165,181
20231004,D262V,3,112,173
20231004,D262V,4,160,181
20231004,D262V,5,265,181
20231004,D262V,5,167,153
20231004,D262V,6,123,181
20231004,D262V,6,222,181
20231004,D262V,7,142,181
20231004,D262V,7,105,94
20231004,D262V,7,108,163
20231004,D262V,8,230,166
20231004,D262V,8,270,181
20231004,D262V,8,170,180
20231004,D262V,8,114,167
20231004,D262V,9,183,170
20231004,D262V,9,194,181
20231004,D262V,9,178,136
20231004,D262V,9,380,180
20231004,D262V,9,148,172
20231004,D262V,10,188,168
20231004,D262V,10,374,181
20231004,D262V,10,387,136
20231004,D262V,10,179,170
20231004,D262V,10,178,160
20231004,D262V,10,901,174
20231004,D262V,11,760,181
20231004,D262V,11,191,94
20231004,D262V,11,380,181
20231004,D262V,11,338,138
20231004,D262V,12,192,165
20231004,D262V,12,194,181
