Day,Variant,Frame,i_GFP,t_dissolution
20230929,WT,1,102,181
20230929,WT,1,101,150
20230929,WT,1,101,123
20230929,WT,1,102,158
20230929,WT,2,102,135
20230929,WT,2,101,113
20230929,WT,2,102,153
20230929,WT,2,102,177
20230929,WT,3,102,181
20230929,WT,3,102,153
20230929,WT,3,101,181
20230929,WT,3,101,177
20230929,WT,4,102,125
20230929,WT,4,102,129
20230929,WT,4,101,143
20230929,WT,4,101,181
20230929,WT,5,101,181
20230929,WT,5,102,131
20230929,WT,5,102,159
20230929,WT,5,101,143
20230929,WT,6,102,181
20230929,WT,6,102,161
20230929,WT,6,101,176
20230929,WT,6,101,175
20230929,WT,7,102,145
20230929,WT,7,103,162
20230929,WT,7,102,151
20230929,WT,7,102,141
20230929,WT,8,102,132
20230929,WT,8,102,100
20230929,WT,8,102,181
20230929,WT,8,102,121
20230929,WT,9,102,99
20230929,WT,9,102,167
20230929,WT,9,102,158
20230929,WT,9,101,128
20230929,WT,10,102,145
20230929,WT,10,102,150
20230929,WT,11,102,147
20230929,WT,11,102,154
20230929,WT,11,101,142
20230929,WT,11,101,121
20230929,WT,12,102,106
20230929,WT,12,102,85
20230929,WT,12,101,152
20230929,WT,12,102,169
20230929,WT,13,102,181
20230929,WT,13,102,181
20230929,WT,13,102,157
20230929,WT,13,102,157
20230929,WT,14,102,141
20230929,WT,14,102,119
20230929,WT,14,102,126
20230929,WT,14,102,148
20230929,WT,15,102,161
20230929,WT,15,102,153
20230929,WT,15,103,102
20230929,WT,15,102,115
20230929,WT,16,103,137
20230929,WT,16,102,178
20230929,WT,16,102,181
20230929,WT,16,102,146
20230929,WT,17,102,181
20230929,WT,17,102,175
20230929,WT,17,102,160
20230929,WT,17,102,181
20230929,WT,18,102,130
20230929,WT,18,102,145
20230929,WT,18,102,132
20230929,WT,18,101,181
20230929,WT,19,102,181
20230929,WT,19,102,93
20230929,WT,19,102,131
20230929,WT,19,102,126
20230929,WT,20,102,181
20230929,WT,20,102,130
20230929,WT,20,102,93
20230929,WT,20,102,178
20230929,D262V,1,102,180
20230929,D262V,1,101,153
20230929,D262V,1,102,109
20230929,D262V,1,101,162
