Day,Variant,i_GFP,cat,t_dissolution,t,status
1,WT,102,nonexpressing,85,23,1
1,WT,102,nonexpressing,93,31,1
1,WT,102,nonexpressing,93,31,1
1,WT,102,nonexpressing,99,37,1
1,WT,102,nonexpressing,100,38,1
1,WT,103,nonexpressing,102,40,1
1,WT,102,nonexpressing,106,44,1
1,WT,101,nonexpressing,113,51,1
1,WT,102,nonexpressing,115,53,1
1,WT,102,nonexpressing,119,57,1
1,WT,102,nonexpressing,121,59,1
1,WT,101,nonexpressing,121,59,1
1,WT,101,nonexpressing,123,61,1
1,WT,102,nonexpressing,125,63,1
1,WT,102,nonexpressing,126,64,1
1,WT,102,nonexpressing,126,64,1
1,WT,101,nonexpressing,128,66,1
1,WT,102,nonexpressing,129,67,1
1,WT,102,nonexpressing,130,68,1
1,WT,102,nonexpressing,130,68,1
1,WT,102,nonexpressing,131,69,1
1,WT,102,nonexpressing,131,69,1
1,WT,102,nonexpressing,132,70,1
1,WT,102,nonexpressing,132,70,1
1,WT,102,nonexpressing,135,73,1
1,WT,103,nonexpressing,137,75,1
1,WT,102,nonexpressing,141,79,1
1,WT,102,nonexpressing,141,79,1
1,WT,101,nonexpressing,142,80,1
1,WT,101,nonexpressing,143,81,1
1,WT,101,nonexpressing,143,81,1
1,WT,102,nonexpressing,145,83,1
1,WT,102,nonexpressing,145,83,1
1,WT,102,nonexpressing,145,83,1
1,WT,102,nonexpressing,146,84,1
1,WT,102,nonexpressing,147,85,1
1,WT,102,nonexpressing,148,86,1
1,WT,101,nonexpressing,150,88,1
1,WT,102,nonexpressing,150,88,1
1,WT,102,nonexpressing,151,89,1
1,WT,101,nonexpressing,152,90,1
1,WT,102,nonexpressing,153,91,1
1,WT,102,nonexpressing,153,91,1
1,WT,102,nonexpressing,153,91,1
1,WT,102,nonexpressing,154,92,1
1,WT,102,nonexpressing,157,95,1
1,WT,102,nonexpressing,157,95,1
1,WT,102,nonexpressing,158,96,1
1,WT,102,nonexpressing,158,96,1
1,WT,102,nonexpressing,159,97,1
1,WT,102,nonexpressing,160,98,1
1,WT,102,nonexpressing,161,99,1
1,WT,102,nonexpressing,161,99,1
1,WT,103,nonexpressing,162,100,1
1,WT,102,nonexpressing,167,105,1
1,WT,102,nonexpressing,169,107,1
1,WT,101,nonexpressing,175,113,1
1,WT,102,nonexpressing,175,113,1
1,WT,101,nonexpressing,176,114,1
1,WT,102,nonexpressing,177,115,1
1,WT,101,nonexpressing,177,115,1
1,WT,102,nonexpressing,178,116,1
1,WT,102,nonexpressing,178,116,1
1,WT,102,nonexpressing,181,119,0
1,WT,102,nonexpressing,181,119,0
1,WT,101,nonexpressing,181,119,0
1,WT,101,nonexpressing,181,119,0
1,WT,101,nonexpressing,181,119,0
1,WT,102,nonexpressing,181,119,0
1,WT,102,nonexpressing,181,119,0
1,WT,102,nonexpressing,181,119,0
1,WT,102,nonexpressing,181,119,0
1,WT,102,nonexpressing,181,119,0
1,WT,102,nonexpressing,181,119,0
1,WT,102,nonexpressing,181,119,0
1,WT,101,nonexpressing,181,119,0
1,WT,102,nonexpressing,181,119,0
1,WT,102,nonexpressing,181,119,0
2,WT,100,nonexpressing,77,15,1
2,WT,101,nonexpressing,78,16,1
2,WT,100,nonexpressing,85,23,1
2,WT,101,nonexpressing,88,26,1
2,WT,101,nonexpressing,89,27,1
2,WT,101,nonexpressing,92,30,1
2,WT,101,nonexpressing,92,30,1
2,WT,101,nonexpressing,95,33,1
2,WT,100,nonexpressing,97,35,1
2,WT,101,nonexpressing,99,37,1
2,WT,101,nonexpressing,104,42,1
2,WT,101,nonexpressing,104,42,1
2,WT,100,nonexpressing,107,45,1
2,WT,101,nonexpressing,110,48,1
2,WT,100,nonexpressing,112,50,1
2,WT,101,nonexpressing,113,51,1
2,WT,101,nonexpressing,115,53,1
2,WT,101,nonexpressing,116,54,1
2,WT,101,nonexpressing,116,54,1
2,WT,101,nonexpressing,117,55,1
2,WT,101,nonexpressing,118,56,1
2,WT,100,nonexpressing,118,56,1
2,WT,101,nonexpressing,119,57,1
2,WT,102,nonexpressing,119,57,1
2,WT,101,nonexpressing,121,59,1
2,WT,101,nonexpressing,121,59,1
2,WT,100,nonexpressing,122,60,1
2,WT,101,nonexpressing,126,64,1
2,WT,101,nonexpressing,127,65,1
2,WT,101,nonexpressing,129,67,1
2,WT,101,nonexpressing,131,69,1
2,WT,101,nonexpressing,131,69,1
2,WT,101,nonexpressing,131,69,1
2,WT,101,nonexpressing,132,70,1
2,WT,101,nonexpressing,135,73,1
2,WT,101,nonexpressing,135,73,1
2,WT,100,nonexpressing,138,76,1
2,WT,101,nonexpressing,138,76,1
2,WT,102,nonexpressing,139,77,1
2,WT,101,nonexpressing,140,78,1
2,WT,101,nonexpressing,141,79,1
2,WT,100,nonexpressing,141,79,1
2,WT,101,nonexpressing,141,79,1
2,WT,101,nonexpressing,141,79,1
2,WT,100,nonexpressing,142,80,1
2,WT,101,nonexpressing,145,83,1
2,WT,100,nonexpressing,148,86,1
2,WT,101,nonexpressing,148,86,1
2,WT,101,nonexpressing,150,88,1
2,WT,101,nonexpressing,152,90,1
2,WT,100,nonexpressing,152,90,1
2,WT,100,nonexpressing,153,91,1
2,WT,101,nonexpressing,158,96,1
2,WT,101,nonexpressing,159,97,1
2,WT,101,nonexpressing,159,97,1
2,WT,100,nonexpressing,159,97,1
2,WT,101,nonexpressing,163,101,1
2,WT,101,nonexpressing,164,102,1
2,WT,101,nonexpressing,164,102,1
2,WT,101,nonexpressing,172,110,1
2,WT,101,nonexpressing,173,111,1
2,WT,101,nonexpressing,176,114,1
2,WT,100,nonexpressing,181,119,0
2,WT,100,nonexpressing,181,119,0
