Variant,cat,t,f_mean,f_sem,f_n
WT,expressing,0,1,0,3
WT,nonexpressing,0,1,0,3
WT,expressing,1,1,0,3
WT,nonexpressing,1,1,0,3
WT,expressing,2,1,0,3
WT,nonexpressing,2,1,0,3
WT,expressing,3,1,0,3
WT,nonexpressing,3,1,0,3
WT,expressing,4,1,0,3
WT,nonexpressing,4,1,0,3
WT,expressing,5,1,0,3
WT,nonexpressing,5,1,0,3
WT,expressing,6,1,0,3
WT,nonexpressing,6,1,0,3
WT,expressing,7,1,0,3
WT,nonexpressing,7,1,0,3
WT,expressing,8,1,0,3
WT,nonexpressing,8,1,0,3
WT,expressing,9,1,0,3
WT,nonexpressing,9,1,0,3
WT,expressing,10,1,0,3
WT,nonexpressing,10,1,0,3
WT,expressing,11,0.9931972789115646,0.006802721088435382,3
WT,nonexpressing,11,1,0,3
WT,expressing,12,0.9931972789115646,0.006802721088435382,3
WT,nonexpressing,12,0.9916666666666667,0.008333333333333342,3
WT,expressing,13,0.9931972789115646,0.006802721088435382,3
WT,nonexpressing,13,0.9916666666666667,0.008333333333333342,3
WT,expressing,14,0.9863945578231292,0.013605442176870763,3
WT,nonexpressing,14,0.9875,0.012499999999999992,3
WT,expressing,15,0.9863945578231292,0.013605442176870763,3
WT,nonexpressing,15,0.9831140350877193,0.010984631391551038,3
WT,expressing,16,0.9863945578231292,0.013605442176870763,3
WT,nonexpressing,16,0.974561403508772,0.014440418976451179,3
WT,expressing,17,0.9863945578231292,0.013605442176870763,3
WT,nonexpressing,17,0.974561403508772,0.014440418976451179,3
WT,expressing,18,0.9719018041999409,0.0140700974768013,3
WT,nonexpressing,18,0.974561403508772,0.014440418976451179,3
WT,expressing,19,0.9506063294883171,0.02578976141769017,3
WT,nonexpressing,19,0.974561403508772,0.014440418976451179,3
WT,expressing,20,0.9506063294883171,0.02578976141769017,3
WT,nonexpressing,20,0.974561403508772,0.014440418976451179,3
WT,expressing,21,0.9216208222419403,0.05093181442633767,3
WT,nonexpressing,21,0.974561403508772,0.014440418976451179,3
WT,expressing,22,0.9097675961029998,0.046031773464963274,3
WT,nonexpressing,22,0.974561403508772,0.014440418976451179,3
WT,expressing,23,0.9047170910524948,0.04201470411402887,3
WT,nonexpressing,23,0.965901934322987,0.011064229491109375,3
WT,expressing,24,0.8996665860019898,0.03824345378988992,3
WT,nonexpressing,24,0.9617352676563203,0.014353966177407472,3
WT,expressing,25,0.8946160809514847,0.03479803667306319,3
WT,nonexpressing,25,0.9575686009896537,0.0180104896667082,3
WT,expressing,26,0.8682701011893559,0.043497545841328956,3
WT,nonexpressing,26,0.9448493027440397,0.025198050281778458,3
WT,expressing,27,0.8632195961388508,0.04043334756380764,3
WT,nonexpressing,27,0.940463337831759,0.02536000121655014,3
WT,expressing,28,0.8436763374651574,0.05228582983039238,3
WT,nonexpressing,28,0.940463337831759,0.02536000121655014,3
WT,expressing,29,0.8436763374651574,0.05228582983039238,3
WT,nonexpressing,29,0.940463337831759,0.02536000121655014,3
WT,expressing,30,0.8190825737409588,0.06250549761176792,3
WT,nonexpressing,30,0.9275247413405309,0.030402866359098155,3
