Variant,cat,t,f_mean,f_sem,f_n
allW D262V,expressing,0,1,0,3
D262V,expressing,0,1,0,3
WT,expressing,0,1,0,3
allW D262V,expressing,1,1,0,3
D262V,expressing,1,1,0,3
WT,expressing,1,1,0,3
allW D262V,expressing,2,1,0,3
D262V,expressing,2,1,0,3
WT,expressing,2,1,0,3
allW D262V,expressing,3,1,0,3
D262V,expressing,3,1,0,3
WT,expressing,3,1,0,3
allW D262V,expressing,4,1,0,3
D262V,expressing,4,1,0,3
WT,expressing,4,1,0,3
allW D262V,expressing,5,1,0,3
D262V,expressing,5,1,0,3
WT,expressing,5,1,0,3
allW D262V,expressing,6,1,0,3
D262V,expressing,6,1,0,3
WT,expressing,6,1,0,3
allW D262V,expressing,7,1,0,3
D262V,expressing,7,1,0,3
WT,expressing,7,1,0,3
allW D262V,expressing,8,1,0,3
D262V,expressing,8,1,0,3
WT,expressing,8,1,0,3
allW D262V,expressing,9,1,0,3
D262V,expressing,9,1,0,3
WT,expressing,9,1,0,3
allW D262V,expressing,10,1,0,3
D262V,expressing,10,1,0,3
WT,expressing,10,1,0,3
allW D262V,expressing,11,1,0,3
D262V,expressing,11,1,0,3
WT,expressing,11,0.9931972789115646,0.006802721088435382,3
allW D262V,expressing,12,0.9931972789115646,0.006802721088435382,3
D262V,expressing,12,1,0,3
WT,expressing,12,0.9931972789115646,0.006802721088435382,3
allW D262V,expressing,13,0.9803339517625231,0.011806005985754053,3
D262V,expressing,13,0.996996996996997,0.0030030030030030095,3
WT,expressing,13,0.9931972789115646,0.006802721088435382,3
allW D262V,expressing,14,0.9689650206284257,0.015150133646357861,3
D262V,expressing,14,0.996996996996997,0.0030030030030030095,3
WT,expressing,14,0.9863945578231292,0.013605442176870763,3
allW D262V,expressing,15,0.9643988105827637,0.013084930708778258,3
D262V,expressing,15,0.996996996996997,0.0030030030030030095,3
WT,expressing,15,0.9863945578231292,0.013605442176870763,3
allW D262V,expressing,16,0.9552663904914395,0.013405028199978098,3
D262V,expressing,16,0.993993993993994,0.006006006006006019,3
WT,expressing,16,0.9863945578231292,0.013605442176870763,3
allW D262V,expressing,17,0.9438974593573419,0.019336041689361576,3
D262V,expressing,17,0.990990990990991,0.009009009009008992,3
WT,expressing,17,0.9863945578231292,0.013605442176870763,3
allW D262V,expressing,18,0.9438974593573419,0.019336041689361576,3
D262V,expressing,18,0.990990990990991,0.009009009009008992,3
WT,expressing,18,0.9719018041999409,0.0140700974768013,3
allW D262V,expressing,19,0.9370947382689065,0.024368704449758506,3
D262V,expressing,19,0.9718867803974187,0.01852288719444837,3
WT,expressing,19,0.9506063294883171,0.02578976141769017,3
allW D262V,expressing,20,0.9257258071348091,0.03035855939936927,3
D262V,expressing,20,0.9647945818158584,0.018571751040515328,3
WT,expressing,20,0.9506063294883171,0.02578976141769017,3
allW D262V,expressing,21,0.9189230860463737,0.03599498271437707,3
D262V,expressing,21,0.9587885758098524,0.023415704715234346,3
WT,expressing,21,0.9216208222419403,0.05093181442633767,3
allW D262V,expressing,22,0.9121203649579384,0.04197844042869702,3
D262V,expressing,22,0.9557855728068494,0.02602002985623315,3
WT,expressing,22,0.9097675961029998,0.046031773464963274,3
allW D262V,expressing,23,0.8954329427910641,0.03168314312239273,3
D262V,expressing,23,0.9557855728068494,0.02602002985623315,3
WT,expressing,23,0.9047170910524948,0.04201470411402887,3
allW D262V,expressing,24,0.875024779525758,0.051168722215743936,3
D262V,expressing,24,0.9456903712222862,0.029000763917171043,3
WT,expressing,24,0.8996665860019898,0.03824345378988992,3
allW D262V,expressing,25,0.8682220584373226,0.05780557973396216,3
D262V,expressing,25,0.9456903712222862,0.029000763917171043,3
WT,expressing,25,0.8946160809514847,0.03479803667306319,3
allW D262V,expressing,26,0.8507925212426191,0.059016576180163156,3
D262V,expressing,26,0.9456903712222862,0.029000763917171043,3
WT,expressing,26,0.8682701011893559,0.043497545841328956,3
allW D262V,expressing,27,0.8507925212426191,0.059016576180163156,3
D262V,expressing,27,0.9396843652162801,0.03385442723898513,3
WT,expressing,27,0.8632195961388508,0.04043334756380764,3
allW D262V,expressing,28,0.8416601011512949,0.05660870202245191,3
D262V,expressing,28,0.9281228036547186,0.03443479393660265,3
WT,expressing,28,0.8436763374651574,0.05228582983039238,3
allW D262V,expressing,29,0.8128616328224939,0.06315993786716328,3
D262V,expressing,29,0.9210306050731583,0.034336285336253373,3
WT,expressing,29,0.8436763374651574,0.05228582983039238,3
allW D262V,expressing,30,0.8060589117340585,0.06960510245703354,3
D262V,expressing,30,0.913938406491598,0.03567638587875042,3
WT,expressing,30,0.8190825737409588,0.06250549761176792,3
allW D262V,expressing,31,0.7999983056734524,0.06524695308026815,3
D262V,expressing,31,0.9109354034885949,0.037804636346334825,3
WT,expressing,31,0.8190825737409588,0.06250549761176792,3
allW D262V,expressing,32,0.775013766403199,0.06097665245969374,3
D262V,expressing,32,0.8998242923774838,0.02735371778539001,3
WT,expressing,32,0.8072293476020184,0.056416043385676753,3
allW D262V,expressing,33,0.7643869502969307,0.055673309958644224,3
D262V,expressing,33,0.8998242923774838,0.02735371778539001,3
WT,expressing,33,0.8021788425515134,0.05477149292277771,3
allW D262V,expressing,34,0.744720902059454,0.06653950286875779,3
D262V,expressing,34,0.8968212893744808,0.029820819080478032,3
WT,expressing,34,0.7826355838778198,0.06744469638381322,3
allW D262V,expressing,35,0.7295278759075237,0.0587560215740462,3
D262V,expressing,35,0.8841735352373651,0.0256579743950441,3
WT,expressing,35,0.7622274206125138,0.055029360100396316,3
allW D262V,expressing,36,0.7174066637863116,0.05445522899291713,3
D262V,expressing,36,0.8726119736758035,0.0253569631646642,3
WT,expressing,36,0.7521264105115036,0.050646470193650414,3
allW D262V,expressing,37,0.7113460577257055,0.053217626298692026,3
D262V,expressing,37,0.8696089706728005,0.02799061491690672,3
WT,expressing,37,0.7470759054609987,0.04909180157501317,3
allW D262V,expressing,38,0.7067798476800434,0.04973101477212421,3
D262V,expressing,38,0.8625167720912402,0.028537725625379456,3
WT,expressing,38,0.7420254004104936,0.048020414650593826,3
allW D262V,expressing,39,0.7067798476800434,0.04973101477212421,3
D262V,expressing,39,0.8505047600792282,0.038361002593868244,3
WT,expressing,39,0.7268738852589784,0.0479574515836756,3
allW D262V,expressing,40,0.699977126591608,0.05623651607747897,3
D262V,expressing,40,0.8444987540732222,0.043684839618659134,3
WT,expressing,40,0.7268738852589784,0.0479574515836756,3
allW D262V,expressing,41,0.6908447065002838,0.05007632416293634,3
D262V,expressing,41,0.8444987540732222,0.043684839618659134,3
WT,expressing,41,0.7218233802084734,0.048989113217698735,3
allW D262V,expressing,42,0.6703433552748621,0.049645178798334556,3
D262V,expressing,42,0.8389431985176666,0.03922112392955457,3
WT,expressing,42,0.7218233802084734,0.048989113217698735,3
allW D262V,expressing,43,0.6544082140951025,0.053119279451329895,3
D262V,expressing,43,0.8359401955146636,0.04203649176179584,3
WT,expressing,43,0.7167728751579684,0.05050707344365515,3
allW D262V,expressing,44,0.6384730729153429,0.05756541956169411,3
D262V,expressing,44,0.815369624944093,0.052659448175823874,3
WT,expressing,44,0.7117223701074633,0.0524691425921884,3
allW D262V,expressing,45,0.6202912547335248,0.04505348900558431,3
D262V,expressing,45,0.815369624944093,0.052659448175823874,3
WT,expressing,45,0.7066718650569582,0.05482766257471112,3
allW D262V,expressing,46,0.6074279275844834,0.048619578997554744,3
D262V,expressing,46,0.8082774263625327,0.05069680832107795,3
WT,expressing,46,0.7066718650569582,0.05482766257471112,3
allW D262V,expressing,47,0.5960589964503858,0.05322141323700324,3
D262V,expressing,47,0.8082774263625327,0.05069680832107795,3
WT,expressing,47,0.7016213600064531,0.057533898225165574,3
allW D262V,expressing,48,0.5899983903897799,0.05014764591056456,3
D262V,expressing,48,0.7910900261964091,0.05217920287463645,3
WT,expressing,48,0.7016213600064531,0.057533898225165574,3
allW D262V,expressing,49,0.5854321803441177,0.047851902596854796,3
D262V,expressing,49,0.7910900261964091,0.05217920287463645,3
WT,expressing,49,0.7016213600064531,0.057533898225165574,3
allW D262V,expressing,50,0.5733109682229056,0.04265416021177215,3
D262V,expressing,50,0.7880870231934062,0.054745909779156186,3
WT,expressing,50,0.7016213600064531,0.057533898225165574,3
allW D262V,expressing,51,0.5733109682229056,0.04265416021177215,3
D262V,expressing,51,0.7880870231934062,0.054745909779156186,3
WT,expressing,51,0.7016213600064531,0.057533898225165574,3
allW D262V,expressing,52,0.5604476410738641,0.04761863725325848,3
D262V,expressing,52,0.7850840201904031,0.057355000797965676,3
WT,expressing,52,0.6948186389180178,0.05075548419784955,3
allW D262V,expressing,53,0.5558814310282021,0.04438658242966077,3
D262V,expressing,53,0.7850840201904031,0.057355000797965676,3
WT,expressing,53,0.6880159178295824,0.04398457611193597,3
allW D262V,expressing,54,0.5369574978185546,0.04852751556739737,3
D262V,expressing,54,0.7820810171874002,0.060000947072474345,3
WT,expressing,54,0.681213196741147,0.03722526996207426,3
allW D262V,expressing,55,0.5369574978185546,0.04852751556739737,3
D262V,expressing,55,0.7645134496198326,0.06651437628466789,3
WT,expressing,55,0.681213196741147,0.03722526996207426,3
allW D262V,expressing,56,0.5323912877728925,0.044864727208671705,3
D262V,expressing,56,0.7615104466168297,0.06934101748562232,3
WT,expressing,56,0.681213196741147,0.03722526996207426,3
