Variant,cat,t,f_mean,f_sem,f_n
allW D262V,nonexpressing,0,1,0,3
D262V,nonexpressing,0,1,0,3
WT,nonexpressing,0,1,0,3
allW D262V,nonexpressing,1,1,0,3
D262V,nonexpressing,1,1,0,3
WT,nonexpressing,1,1,0,3
allW D262V,nonexpressing,2,1,0,3
D262V,nonexpressing,2,1,0,3
WT,nonexpressing,2,1,0,3
allW D262V,nonexpressing,3,1,0,3
D262V,nonexpressing,3,1,0,3
WT,nonexpressing,3,1,0,3
allW D262V,nonexpressing,4,1,0,3
D262V,nonexpressing,4,1,0,3
WT,nonexpressing,4,1,0,3
allW D262V,nonexpressing,5,1,0,3
D262V,nonexpressing,5,1,0,3
WT,nonexpressing,5,1,0,3
allW D262V,nonexpressing,6,1,0,3
D262V,nonexpressing,6,1,0,3
WT,nonexpressing,6,1,0,3
allW D262V,nonexpressing,7,1,0,3
D262V,nonexpressing,7,1,0,3
WT,nonexpressing,7,1,0,3
allW D262V,nonexpressing,8,1,0,3
D262V,nonexpressing,8,1,0,3
WT,nonexpressing,8,1,0,3
allW D262V,nonexpressing,9,1,0,3
D262V,nonexpressing,9,1,0,3
WT,nonexpressing,9,1,0,3
allW D262V,nonexpressing,10,1,0,3
D262V,nonexpressing,10,1,0,3
WT,nonexpressing,10,1,0,3
allW D262V,nonexpressing,11,1,0,3
D262V,nonexpressing,11,0.9958333333333333,0.004166666666666652,3
WT,nonexpressing,11,1,0,3
allW D262V,nonexpressing,12,0.9916666666666667,0.008333333333333342,3
D262V,nonexpressing,12,0.9958333333333333,0.004166666666666652,3
WT,nonexpressing,12,0.9916666666666667,0.008333333333333342,3
allW D262V,nonexpressing,13,0.9916666666666667,0.008333333333333342,3
D262V,nonexpressing,13,0.9958333333333333,0.004166666666666652,3
WT,nonexpressing,13,0.9916666666666667,0.008333333333333342,3
allW D262V,nonexpressing,14,0.9916666666666667,0.008333333333333342,3
D262V,nonexpressing,14,0.9958333333333333,0.004166666666666652,3
WT,nonexpressing,14,0.9875,0.012499999999999992,3
allW D262V,nonexpressing,15,0.987280701754386,0.007220209488225589,3
D262V,nonexpressing,15,0.9958333333333333,0.004166666666666652,3
WT,nonexpressing,15,0.9831140350877193,0.010984631391551038,3
allW D262V,nonexpressing,16,0.987280701754386,0.007220209488225589,3
D262V,nonexpressing,16,0.9958333333333333,0.004166666666666652,3
WT,nonexpressing,16,0.974561403508772,0.014440418976451179,3
allW D262V,nonexpressing,17,0.9831140350877193,0.004061460345932495,3
D262V,nonexpressing,17,0.9875,0.012499999999999992,3
WT,nonexpressing,17,0.974561403508772,0.014440418976451179,3
allW D262V,nonexpressing,18,0.9831140350877193,0.004061460345932495,3
D262V,nonexpressing,18,0.9875,0.012499999999999992,3
WT,nonexpressing,18,0.974561403508772,0.014440418976451179,3
allW D262V,nonexpressing,19,0.9831140350877193,0.004061460345932495,3
D262V,nonexpressing,19,0.9833333333333334,0.011023963796102458,3
WT,nonexpressing,19,0.974561403508772,0.014440418976451179,3
allW D262V,nonexpressing,20,0.9787280701754386,0.004402381556992278,3
D262V,nonexpressing,20,0.975,0.007216878364870329,3
WT,nonexpressing,20,0.974561403508772,0.014440418976451179,3
allW D262V,nonexpressing,21,0.9743421052631579,0.007793577036805656,3
D262V,nonexpressing,21,0.975,0.007216878364870329,3
WT,nonexpressing,21,0.974561403508772,0.014440418976451179,3
allW D262V,nonexpressing,22,0.9701754385964912,0.008680997988109437,3
D262V,nonexpressing,22,0.975,0.007216878364870329,3
WT,nonexpressing,22,0.974561403508772,0.014440418976451179,3
allW D262V,nonexpressing,23,0.9660087719298246,0.011166997417959689,3
D262V,nonexpressing,23,0.975,0.007216878364870329,3
WT,nonexpressing,23,0.965901934322987,0.011064229491109375,3
allW D262V,nonexpressing,24,0.9616228070175439,0.012960878820865981,3
D262V,nonexpressing,24,0.9708333333333333,0.011023963796102485,3
WT,nonexpressing,24,0.9617352676563203,0.014353966177407472,3
allW D262V,nonexpressing,25,0.9532894736842106,0.018283477497451496,3
D262V,nonexpressing,25,0.9666666666666667,0.0150231303144333,3
WT,nonexpressing,25,0.9575686009896537,0.0180104896667082,3
allW D262V,nonexpressing,26,0.9447368421052632,0.015363403410646468,3
D262V,nonexpressing,26,0.9583333333333334,0.011023963796102458,3
WT,nonexpressing,26,0.9448493027440397,0.025198050281778458,3
allW D262V,nonexpressing,27,0.9403508771929825,0.01736199597621884,3
D262V,nonexpressing,27,0.9541666666666667,0.015023130314433272,3
WT,nonexpressing,27,0.940463337831759,0.02536000121655014,3
allW D262V,nonexpressing,28,0.9276315789473685,0.02379360700003304,3
D262V,nonexpressing,28,0.9458333333333333,0.011023963796102449,3
WT,nonexpressing,28,0.940463337831759,0.02536000121655014,3
allW D262V,nonexpressing,29,0.9192982456140351,0.022388836572673237,3
D262V,nonexpressing,29,0.9375,0.014433756729740658,3
WT,nonexpressing,29,0.940463337831759,0.02536000121655014,3
allW D262V,nonexpressing,30,0.9107456140350877,0.026497000358693786,3
D262V,nonexpressing,30,0.9375,0.014433756729740658,3
WT,nonexpressing,30,0.9275247413405309,0.030402866359098155,3
allW D262V,nonexpressing,31,0.9021929824561403,0.023978836724274807,3
D262V,nonexpressing,31,0.9375,0.014433756729740658,3
WT,nonexpressing,31,0.9148110661268556,0.025219721379919256,3
allW D262V,nonexpressing,32,0.8896929824561404,0.025582811117711806,3
D262V,nonexpressing,32,0.9333333333333333,0.011023963796102458,3
WT,nonexpressing,32,0.9106443994601889,0.028622978527523973,3
allW D262V,nonexpressing,33,0.8853070175438597,0.026632776537342612,3
D262V,nonexpressing,33,0.925,0.014433756729740626,3
WT,nonexpressing,33,0.9020917678812416,0.03240770639045253,3
allW D262V,nonexpressing,34,0.8769736842105263,0.025618503275262505,3
D262V,nonexpressing,34,0.9166666666666666,0.022047927592204915,3
WT,nonexpressing,34,0.8979251012145749,0.03584228755868401,3
allW D262V,nonexpressing,35,0.8644736842105264,0.03613832816686758,3
D262V,nonexpressing,35,0.9125,0.026020824993326638,3
WT,nonexpressing,35,0.8935391363022942,0.036302752763886274,3
allW D262V,nonexpressing,36,0.8600877192982457,0.03616493372754041,3
