,k_de_di,k_di_de,k1,k2,klong,kloss,conc,t05,t50,t95,s50,tmax,smax
0,0.01,0.01,0.001,0.1,5,0,10.0,0.89,2.231,231.945,0.243525784352272,1.306,6.613507986239053
1,0.01,0.02,0.001,0.1,5,0,10.0,1.35,30.935000000000002,261.662,0.04990544989524892,1.843,2.9600950546335714
2,0.01,0.05,0.001,0.1,5,0,9.999999999999998,2.797,55.333,286.902,0.049621923361442555,3.309,0.7665170009559796
3,0.01,0.1,0.001,0.1,5,0,10.0,5.458,67.57900000000001,300.549,0.04915595578314225,5.586,0.25231518050383706
4,0.01,0.2,0.001,0.1,5,0,10.0,11.324,79.39,315.163,0.04825051793666546,10.694,0.09673405420385084
5,0.01,0.5,0.001,0.1,5,0,10.0,26.544,103.855,348.03700000000003,0.045725132285845405,45.323,0.0657685052027901
6,0.01,1.0,0.001,0.1,5,0,10.0,49.18,140.78,398.972,0.04205866787643231,85.239,0.05477401042641716
7,0.01,2.0,0.001,0.1,5,0,10.000000000000002,93.411,213.109,499.312,0.03625146233421361,159.78,0.04298083799625374
8,0.01,5.0,0.001,0.1,5,0,10.0,225.458,428.824,0.0,0.025644040664296597,377.368,0.027608396087064335
9,0.01,10.0,0.001,0.1,5,0,10.000000000000002,445.394,0.0,0.0,0.0,499.999,0.007446831830737466
10,0.01,20.0,0.001,0.1,5,0,10.0,0.0,0.0,0.0,0.0,499.999,0.0003725707482041263
11,0.01,50.0,0.001,0.1,5,0,10.0,0.0,0.0,0.0,0.0,499.999,2.8036143709560257e-05
12,0.01,100.0,0.001,0.1,5,0,10.0,0.0,0.0,0.0,0.0,499.999,6.523070626403629e-06
13,0.01,200.0,0.001,0.1,5,0,10.0,0.0,0.0,0.0,0.0,499.999,1.8072652797039568e-06
14,0.01,500.0,0.001,0.1,5,0,10.0,0.0,0.0,0.0,0.0,499.999,4.0433368415568327e-07
15,0.02,0.01,0.001,0.1,5,0,10.0,0.664,1.176,96.084,8.879724810348932,1.022,11.738214058907293
16,0.02,0.02,0.001,0.1,5,0,10.0,0.89,2.126,116.816,0.4297426778112623,1.307,6.63044441333227
17,0.02,0.05,0.001,0.1,5,0,10.0,1.583,20.344,136.084,0.09943251260047248,2.106,2.2084168411846683
18,0.02,0.1,0.001,0.1,5,0,9.999999999999998,2.791,29.797,146.239,0.09849241877901704,3.344,0.7945990322010266
19,0.02,0.2,0.001,0.1,5,0,10.0,5.377,37.703,155.549,0.09666371902294912,5.824,0.28469834232303093
20,0.02,0.5,0.001,0.1,5,0,10.0,13.085,51.28,173.339,0.09157290321670786,21.192,0.1336330350902859
21,0.02,1.0,0.001,0.1,5,0,10.0,24.64,70.233,199.309,0.08419307887486127,42.291000000000004,0.11003821362898236
22,0.02,2.0,0.001,0.1,5,0,10.0,46.865,106.657,249.75900000000001,0.07252904684040828,79.959,0.08605011972973031
23,0.02,5.0,0.001,0.1,5,0,10.0,112.935,214.67600000000002,399.81,0.051276915249864885,188.95600000000002,0.05520181381202249
24,0.02,10.0,0.001,0.1,5,0,10.0,222.912,394.272,0.0,0.03447397840794508,368.885,0.035573116076825784
25,0.02,20.0,0.001,0.1,5,0,10.000000000000002,442.83500000000004,0.0,0.0,0.0,499.999,0.008032922278577992
26,0.02,50.0,0.001,0.1,5,0,10.0,0.0,0.0,0.0,0.0,499.999,0.00017653029932979125
27,0.02,100.0,0.001,0.1,5,0,10.0,0.0,0.0,0.0,0.0,499.999,2.804256730559035e-05
28,0.02,200.0,0.001,0.1,5,0,10.0,0.0,0.0,0.0,0.0,499.999,6.5233976016126904e-06
29,0.02,500.0,0.001,0.1,5,0,10.000000000000002,0.0,0.0,0.0,0.0,499.999,1.22950588382284e-06
30,0.05,0.01,0.001,0.1,5,0,9.999999999999998,0.53,0.888,25.049,17.648431625690186,0.844,18.322891252054774
31,0.05,0.02,0.001,0.1,5,0,10.0,0.619,1.073,36.0,11.452017367041378,0.963,13.49471099160482
32,0.05,0.05,0.001,0.1,5,0,10.0,0.89,1.991,47.741,0.8882790451760769,1.309,6.680945177759856
33,0.05,0.1,0.001,0.1,5,0,10.0,1.349,7.925,54.449,0.24764605790750238,1.857,3.049620474242065
34,0.05,0.2,0.001,0.1,5,0,10.0,2.293,12.963000000000001,60.053000000000004,0.2429442800400139,2.914,1.1965700050966532
35,0.05,0.5,0.001,0.1,5,0,9.999999999999998,5.229,19.8,68.58500000000001,0.22988726353379008,6.564,0.3911257670969892
